Date,EUSTN_VV,FINCH_VV,MORLY_VV,RISEH_VV,RDMER_VV,ELMST_VV,EUSTN_NDVI,FINCH_NDVI,MORLY_NDVI,RISEH_NDVI,RDMER_NDVI,ELMST_NDVI,EUSTN_VWC,EUSTN_P,EUSTN_PE,FINCH_VWC,FINCH_P,FINCH_PE,MORLY_VWC,MORLY_P,MORLY_PE,RDMER_VWC,RDMER_P,RDMER_PE,RISEH_VWC,RISEH_P,RISEH_PE,ELMST_VWC,ELMST_P,ELMST_PE
23/09/2017,0.029559357,0.090081424,0.084969208,0.060663112,0.212582082,0.060365949,1.431887417,1.195704768,0.654783306,0.796028881,1.15399598,1.15399598,17.5,0.7,1.6,26.4,0,1.8,24.9,0.1,1.8,76.8,0,1.6,38.2,0,1.1,34.7,0,1.5
25/09/2017,0.024237111,0.090798773,0.095658779,0.049135957,0.139989689,0.061166693,0.056437547,-0.023058106,0.110243264,-0.019646252,0.10933346,0.10933346,16.1,0,1.3,24.9,0,1.4,22.2,0,1.6,65.8,0,1.2,37.1,0.5,0.8,32.1,0.2,1.6
28/09/2017,0.020541517,0.084709071,0.109833702,0.054359533,0.179063439,0.065372795,0.056437547,-0.023058106,0.110243264,-0.019646252,0.10933346,0.10933346,18.5,3.1,1.4,30.2,3.8,1.3,25.1,3.6,1.5,86.3,0,1.4,36.5,6.8,1.6,36.4,1.6,1.3
29/09/2017,0.048850555,0.11463964,0.172988534,0.082233243,0.28117913,0.163117394,0.056437547,-0.023058106,0.110243264,-0.019646252,0.10933346,0.10933346,19.6,2.7,0.8,31.6,6.1,1,26.6,3.7,0.8,75.6,0,0.9,37.7,0.6,1.1,37.1,1.9,0.8
01/10/2017,0.046797413,0.083980359,0.15562503,0.061030328,0.230163425,0.123290844,0.056437547,-0.023058106,0.110243264,-0.019646252,0.10933346,0.10933346,19.8,0.3,1,30.4,0.5,1.1,26.1,1.1,0.7,79.3,0,1,39,1.9,1.1,36.5,0.4,0.9
04/10/2017,0.030412475,0.089405075,0.050562266,0.044715364,0.103427835,0.056476612,0.056437547,-0.023058106,0.110243264,-0.019646252,0.10933346,0.10933346,15.6,0.4,1.3,25.7,0.3,1.4,22.3,1.3,0.6,58.5,0,1.3,33.8,0,1.5,31.4,0,1.6
05/10/2017,0.022708979,0.129549459,0.065581612,0.071767367,0.10827677,0.084306113,0.270426619,0.027009079,-0.07635553,0.033707865,0.11774533,0.11774533,15,0.5,2.1,25.6,1.1,2.4,24.8,4.1,1.7,65.9,0,2.1,32.6,0.6,2.2,30.7,0.6,2.6
07/10/2017,0.030220203,0.107848242,0.094341256,0.051085953,0.135964841,0.080594018,0.270426619,0.027009079,-0.07635553,0.033707865,0.11774533,0.11774533,15.1,3.1,0.9,24.7,3.7,1,23.8,3.7,0.8,61.1,0,0.9,33.7,1.1,0.9,31.2,1.9,1.1
10/10/2017,0.022658344,0.087237582,0.069616504,0.055185016,0.108180657,0.06571766,0.270426619,0.027009079,-0.07635553,0.033707865,0.11774533,0.11774533,16.3,0.4,1.3,27.5,0.3,1.2,26.5,0.3,1.2,69.6,0,1.2,35.2,0.4,1.2,31.2,0,1.1
11/10/2017,0.052616082,0.105305448,0.078995019,0.061694808,0.130439192,0.100042596,0.270426619,0.027009079,-0.07635553,0.033707865,0.11774533,0.11774533,16,0,1.5,26.7,0,1.7,24.5,0.1,1.4,66.5,0,1.7,33.6,0.1,1.4,31.3,0.4,1.6
13/10/2017,0.043269392,0.091360345,0.071183525,0.044514313,0.097443923,0.14227429,0.270426619,0.027009079,-0.07635553,0.033707865,0.11774533,0.11774533,15.1,0,1.2,26.9,0,1.4,24.8,0,1.1,66.8,0,1.4,34.6,0,1.5,30.7,0,1.2
16/10/2017,0.03998962,0.129214153,0.052159868,0.055560306,0.079263769,0.084613785,0.327108586,0.095847043,0.033974156,0.003009353,0.090002598,0.090002598,13,0.4,1.8,24.4,0.2,2,22.1,0,1.6,70.5,0,1.8,30.4,0.2,1.7,29.9,0.1,1.9
17/10/2017,0.034149703,0.072789103,0.052678019,0.063482828,0.087104619,0.114436209,0.327108586,0.095847043,0.033974156,0.003009353,0.090002598,0.090002598,12.3,0.2,1.3,23.5,0.1,1.7,21.7,0.1,1.2,62.5,0,1.4,30.4,0,2.5,28.4,0,1.4
19/10/2017,0.063156173,0.075994119,0.167252481,0.048813682,0.217349231,0.163579166,0.327108586,0.095847043,0.033974156,0.003009353,0.090002598,0.090002598,13.8,0.4,0.6,30.4,1.1,0.6,22,0.6,0.6,70.5,0,0.4,32.2,1.7,0.3,34,1,0.8
22/10/2017,0.031534802,0.080707707,0.069413334,0.04414295,0.074883997,0.12353792,0.327108586,0.095847043,0.033974156,0.003009353,0.090002598,0.090002598,15.6,0.4,1.4,28.4,0.8,1.7,22.5,0.9,0.8,66.9,0.7,1.5,31.1,1,1.2,35,0,1.5
23/10/2017,0.028886674,0.094031297,0.136342525,0.075381085,0.135054648,0.124977589,0.327108586,0.095847043,0.033974156,0.003009353,0.090002598,0.090002598,14.5,0,0.6,27.8,0.2,0.6,22.2,0,0.6,57.8,0,0.6,30.8,0,0.6,32.3,0.1,0.5
25/10/2017,0.0372326,0.076871298,0.084961824,0.049107198,0.105875365,0.14369987,1.642620158,1.185671098,0.693478426,0.849056604,0.140633183,0.140633183,14.6,0,1.3,26.7,0,1.7,22.9,0,1,67.2,0,1.3,31.7,1,1.2,33.4,0,1.2
28/10/2017,0.025971163,0.082199551,0.0565775,0.050014976,0.059176095,0.157910198,1.642620158,1.185671098,0.693478426,0.849056604,0.140633183,0.140633183,12.7,0,0.9,25.6,0.1,0.9,21.7,0,0.6,58.2,0,0.9,30.3,0,1.1,31.2,0.1,1
29/10/2017,0.04860878,0.085422076,0.066763557,0.048543554,0.098352529,0.101141214,1.642620158,1.185671098,0.693478426,0.849056604,0.140633183,0.140633183,11.2,0.3,1.3,23.2,0.6,1.6,19.6,0.2,0.9,45.4,0.1,1.3,28.8,0,1.3,28.6,0.8,1.4
31/10/2017,0.042628765,0.086653598,0.08031819,0.036719196,0.109006226,0.17696628,1.642620158,1.185671098,0.693478426,0.849056604,0.140633183,0.140633183,13,0,0.7,27.2,0,0.7,22.2,0.1,0.5,68.5,0.6,0.7,33.4,2.4,0.7,32.1,0,0.8
03/11/2017,0.019633789,0.080851361,0.055361263,0.057968542,0.066042542,0.099798158,1.642620158,1.185671098,0.693478426,0.849056604,0.140633183,0.140633183,11.6,0,0.6,25.1,0,0.4,21,0,0.5,68.4,0,0.6,31.5,0,0.6,32.5,0,0.9
04/11/2017,0.061377242,0.107479133,0.135916159,0.056145456,0.226526842,0.13495943,0.32931531,0.034126222,0.129725326,0.851029378,0.176765983,0.176765983,15.3,7,0.3,29.2,17.5,0.3,24.9,8.3,0.2,77.2,20.8,0.2,35.2,14.2,0.5,33.1,2.8,0.4
06/11/2017,0.031580001,0.092226841,0.108385913,0.035838142,0.091717511,0.119809553,0.32931531,0.034126222,0.129725326,0.851029378,0.176765983,0.176765983,16.3,0,0.8,29,0,0.6,24.4,0,0.7,61.4,0.2,0.6,34.6,0,0.7,33.7,0,0.7
09/11/2017,0.02798165,0.080399908,0.087255672,0.043300875,0.137083232,0.136880964,0.32931531,0.034126222,0.129725326,0.851029378,0.176765983,0.176765983,19.6,0.1,0.5,30.9,0,0.5,25.9,0,0.4,71.7,0.1,0.3,39.3,0,0.7,36,0,0.4
10/11/2017,0.033854939,0.088589102,0.080353916,0.081392884,0.178638458,0.138259202,0.32931531,0.034126222,0.129725326,0.851029378,0.176765983,0.176765983,18.4,0,1,29,0,1.2,25.4,0,0.7,64.4,0.1,0.8,33.7,0,1.2,33.2,0.1,1
12/11/2017,0.039422873,0.071304522,0.12562716,0.040618014,0.181278795,0.192998439,0.32931531,0.034126222,0.129725326,0.851029378,0.176765983,0.176765983,17.8,1.8,0.8,27.9,2.3,1,25,5.3,0.5,59.8,0.1,0.8,32.9,0,1,33.5,0.7,0.8
15/11/2017,0.024647489,0.080347873,0.097268641,0.049165972,0.140590921,0.13412191,1.279044548,0.502107277,1.118069522,0.268339307,0.623638128,0.623638128,18.5,0,0.3,30.5,0,0.1,27.3,0,0.3,72.4,1.1,0.2,35,0.1,0.2,35.9,0,0.3
16/11/2017,0.027312674,0.082264021,0.11975272,0.071548983,0.202737123,0.199784756,1.279044548,0.502107277,1.118069522,0.268339307,0.623638128,0.623638128,18.5,0,0.6,29.6,0,0.5,25.4,0,0.4,67,0.3,0.3,35.3,0,0.4,37.2,0,0.4
18/11/2017,0.055016242,0.100311667,0.103107847,0.037772655,0.131832808,0.153685749,1.279044548,0.502107277,1.118069522,0.268339307,0.623638128,0.623638128,17.7,0,0.7,29.1,0,0.6,25.4,0,0.5,69.7,0,0.5,33.2,0,0.5,35.3,0,0.5
21/11/2017,0.03254389,0.084843546,0.080449544,0.055967029,0.144010782,0.167155042,1.279044548,0.502107277,1.118069522,0.268339307,0.623638128,0.623638128,19.2,1.4,0.6,30.6,1.5,0.4,26.2,1.7,0.2,66.1,0.8,0.3,36.7,1.9,0.5,38,0.6,0.7
22/11/2017,0.052645754,0.09738861,0.101500973,0.084966287,0.165795013,0.141721368,1.279044548,0.502107277,1.118069522,0.268339307,0.623638128,0.623638128,19.3,0,1.5,29.8,0.1,1.7,27.1,0,1,71.7,0,1.4,38.7,0.1,1.3,36.9,0.1,1.8
24/11/2017,0.041317068,0.092471994,0.095591292,0.040792324,0.156953871,0.108888768,1.4524954,1.638482333,1.654062423,0.816223977,1.221918151,1.221918151,17.3,0,0.5,29.2,0,0.5,25,0,0.4,64.3,0,0.4,38.8,0,0.5,35.5,0,0.3
27/11/2017,0.035795644,0.092323184,0.075544797,0.048316572,0.215299413,0.130836636,1.4524954,1.638482333,1.654062423,0.816223977,1.221918151,1.221918151,19.4,6.6,0.7,30.3,4.4,0.6,27.1,6.4,0.3,61.8,4.1,0.4,36.1,1,0.5,36.6,6.4,0.6
28/11/2017,0.05117188,0.099776879,0.110515326,0.073682666,0.285634995,0.13882795,1.4524954,1.638482333,1.654062423,0.816223977,1.221918151,1.221918151,19.6,0.3,0.6,30.1,0,0.6,28.2,0.1,0.4,74,0.2,0.4,36.2,0,0.5,39.2,0,0.5
30/11/2017,0.035629965,0.081914142,0.09239728,0.046705779,0.100066505,0.086825036,1.4524954,1.638482333,1.654062423,0.816223977,1.221918151,1.221918151,20.5,2.2,0.5,31.3,1.5,0.6,29.7,4.4,0.2,74,1,0.3,34.4,0.6,0.6,36.5,0.8,0.5
03/12/2017,0.038365547,0.107605636,0.073140658,0.0598027,0.205320269,0.135911524,1.4524954,1.638482333,1.654062423,0.816223977,1.221918151,1.221918151,21.3,0.1,0.2,31.9,0,0.1,27.8,0,0.2,68.4,0.8,0.1,33.8,0,0.2,37.6,0,0.2
04/12/2017,0.040204585,0.09815184,0.115773678,0.076610297,0.207291007,0.246565774,1.37546957,1.537025112,1.657764177,0.794274624,0.670461733,0.670461733,20.7,0,0.5,29.6,0,0.3,27.6,0,0.3,58.6,0.3,0.2,33.3,0,0.4,40.5,0.2,0.4
06/12/2017,0.045116559,0.100357786,0.134151012,0.045572851,0.232118845,0.187012672,1.37546957,1.537025112,1.657764177,0.794274624,0.670461733,0.670461733,19.7,0,1,28.9,0.2,0.9,28.1,0,0.6,68.6,0,0.7,33.7,0,1,39.5,0,0.9
09/12/2017,0.027409928,0.059924435,0.074146666,0.037419226,0.114319257,0.080582827,1.37546957,1.537025112,1.657764177,0.794274624,0.670461733,0.670461733,19.9,0,0.3,29.1,0,0.4,27,0,0.2,66.6,0,0.2,33.5,0,0.3,38.2,0,0.3
10/12/2017,0.052300382,0.099148914,0.128386915,0.051947657,0.234645873,0.087396711,1.37546957,1.537025112,1.657764177,0.794274624,0.670461733,0.670461733,19.3,7.9,0.3,29.8,5.7,0.3,28.1,7.9,0.2,67.6,7.8,0.2,34.2,1.2,0.2,37.2,11.1,0.2
12/12/2017,0.047353026,0.082864314,0.093807645,0.049354412,0.07710892,0.130780682,1.37546957,1.537025112,1.657764177,0.794274624,0.670461733,0.670461733,23.9,1.6,0.6,33.5,1.5,0.6,30.1,1.4,0.5,77.2,1.8,0.2,38.5,0.8,0.3,37.2,1.2,0.3
15/12/2017,0.051202498,0.09127298,0.101080254,0.044066072,0.186879128,0.118090257,1.311602594,1.551224597,1.6024424,0.729567608,0.479903043,0.479903043,23.7,2.9,0.4,32.7,4.7,0.4,33.2,5.8,0.2,77.4,1.3,0.1,39.3,1.8,0.3,44,1.8,0.2
16/12/2017,0.029390832,0.10197404,0.102734804,0.063762218,0.248454466,0.161537573,1.311602594,1.551224597,1.6024424,0.729567608,0.479903043,0.479903043,21.8,0,0.3,31,0,0.4,30.8,0,0.2,67,0,0.2,36.6,0,0.3,40.8,0,0.3
18/12/2017,0.048546065,0.120481655,0.152135998,0.04365208,0.277507007,0.207236007,1.311602594,1.551224597,1.6024424,0.729567608,0.479903043,0.479903043,22.2,0,0.3,29.7,0,0.3,30,0,0.2,67.1,0,0.2,37.4,0.1,0.2,44.5,0,0.3
21/12/2017,0.05216676,0.093621492,0.079088226,0.049263135,0.185031593,0.156002045,0.027433664,0.129258049,-0.002773194,0.737976783,-0.005924911,-0.005924911,21.4,0,0.1,32.8,0,0,32.3,0.2,0.1,70.4,0,0.1,37.4,0.8,0.1,42.5,0.2,0.1
22/12/2017,0.046132479,0.094221093,0.131572932,0.07941521,0.340297937,0.170642197,0.027433664,0.129258049,-0.002773194,0.737976783,-0.005924911,-0.005924911,20,0,0.1,30.7,0,0.1,31.3,0.1,0.1,65.8,0,0.1,37,0,0.2,40,0,0.1
24/12/2017,0.056972489,0.12372604,0.114191994,0.041551497,0.194011346,0.155109495,0.027433664,0.129258049,-0.002773194,0.737976783,-0.005924911,-0.005924911,20.2,0,0.7,31.4,0,0.5,29.6,0,0.2,72.9,0.1,0.3,37.8,0,0.4,41,0,0.5
27/12/2017,0.054983012,0.078501567,0.092716902,0.061768927,0.225269705,0.142485082,1.324099444,1.454184317,1.648784693,0.772037915,0.533307903,0.533307903,24.9,13.4,0.3,32.3,19.6,0.5,34,19,0.1,74.4,14.3,0.2,38.9,11.9,0.5,45.1,7.5,0.3
28/12/2017,0.043407157,0.07903555,0.101262428,0.061514571,0.270153463,0.15969038,1.324099444,1.454184317,1.648784693,0.772037915,0.533307903,0.533307903,22.7,0,0.3,32.3,0,0.3,33,0,0.2,74,0,0.2,36.3,0,0.4,44.8,0,0.3
